Edge, Milepost1, Milepost2, Distance, Volume, Lane
0 251 250 51.40 118.00 3
1 250 244 335.78 114.80 4
2 244 241 140.81 104.30 3
3 241 249 140.73 80.23 3
4 249 253 300.11 56.88 3
5 253 258 241.60 55.53 3
6 258 261 97.64 58.12 3
7 261 263 45.97 68.77 3
8 268 269 44.00 52.81 3
9 269 264 37.48 52.48 3
10 264 265 359.27 52.01 3
11 265 267 301.20 51.12 3
12 267 256 280.01 54.68 3
13 256 245 345.34 64.90 3
14 245 235 170.42 75.03 3
15 235 248 246.61 73.45 3
16 248 255 336.66 63.86 3
17 255 264 270.35 56.12 3
18 241 239 210.76 108.40 3
19 239 231 361.00 119.20 3
20 231 225 350.35 132.25 4
21 225 215 174.92 143.65 4
22 215 218 154.21 129.08 3
23 218 229 178.07 102.28 3
24 229 232 124.02 88.54 3
25 232 235 69.12 81.13 3
26 218 219 202.09 108.73 3
27 219 217 260.09 109.50 3
28 217 223 49.04 108.37 3
29 223 238 356.24 89.69 3
30 238 254 361.35 67.40 3
31 254 266 335.76 54.91 3
32 266 276 322.22 47.14 3
33 215 208 178.49 162.20 4
34 208 200 166.15 173.10 4
35 200 199 101.40 174.70 4
36 199 209 191.51 156.46 3
37 209 218 177.07 121.74 3
38 217 212 89.27 131.54 3
39 212 205 128.83 149.22 3
40 205 202 53.31 148.46 3
41 202 204 4.47 149.90 3
42 204 203 78.03 145.31 3
43 203 197 341.28 171.03 3
44 197 199 92.97 191.30 4
45 200 189 230.00 152.43 3
46 189 175 234.55 127.31 4
47 189 186 89.19 126.47 4
48 186 176 200.35 109.40 4
49 176 162 340.48 93.56 4
50 162 159 54.34 84.47 4
51 159 147 147.41 82.05 3
52 147 152 83.19 80.87 3
53 152 159 69.64 82.34 4
54 152 153 49.77 80.27 4
55 153 156 278.22 73.97 4
56 156 161 270.48 64.68 4
57 199 194 55.66 278.21 4
58 194 193 49.09 572.56 4
59 194 185 275.09 268.38 4
60 185 180 251.91 158.52 4
61 197 195 164.03 196.70 4
62 195 191 118.56 182.60 4
63 195 188 132.31 173.49 4
64 199 181 486.75 184.45 4
65 191 182 131.88 174.00 4
66 182 181 48.37 181.25 4
67 182 183 41.63 166.94 4
68 183 190 82.29 153.92 4
69 190 202 253.02 148.50 3
70 181 178 213.05 198.49 4
71 178 192 222.04 174.80 4
72 192 198 89.05 136.40 4
73 198 206 186.45 134.47 3
74 206 205 76.01 142.57 3
75 206 211 103.59 129.46 3
76 211 226 251.68 107.61 3
77 226 237 336.41 84.23 3
78 237 228 315.43 75.48 3
79 228 227 246.78 72.90 3
80 227 236 266.27 65.44 3
81 236 252 324.48 56.59 3
82 252 260 335.77 48.44 3
83 260 270 317.29 42.53 3
84 227 222 105.00 72.80 3
85 222 221 53.60 74.72 3
86 221 214 352.01 84.17 3
87 214 211 269.67 108.21 3
88 222 213 94.67 75.14 3
89 213 210 194.13 72.80 3
90 210 220 319.79 63.65 3
91 220 216 317.91 52.89 3
92 216 224 287.89 47.04 3
93 210 207 48.88 75.62 3
94 207 201 311.27 81.38 3
95 201 187 348.64 94.94 3
96 187 179 315.63 251.30 4
97 179 177 60.01 297.74 4
98 179 178 88.00 301.94 4
99 178 174 42.54 218.62 4
100 174 158 332.43 225.56 4
101 177 167 297.93 157.26 4
102 167 165 99.64 110.26 4
103 165 166 250.05 96.98 4
104 166 163 90.43 85.54 4
105 163 168 103.24 82.92 4
106 168 184 344.49 78.79 4
107 184 207 337.01 77.49 3
108 158 154 43.10 219.72 4
109 158 160 145.53 182.65 4
110 160 164 179.37 130.17 4
111 164 165 106.02 111.73 4
112 151 158 178.04 211.37 4
113 151 157 55.66 175.16 4
114 157 169 229.44 175.13 4
115 151 170 296.14 191.80 4
116 170 181 220.10 185.85 4
117 181 173 126.00 369.03 4
118 173 169 103.17 374.94 4
119 169 171 217.30 176.69 4
120 171 172 136.31 147.62 4
121 172 180 101.53 149.25 4
122 151 150 113.60 187.44 4
123 150 148 29.83 166.50 3
124 148 132 326.55 144.41 3
125 132 138 136.56 137.91 3
126 138 142 43.57 146.68 3
127 142 151 309.03 174.12 3
128 138 140 88.36 177.26 3
129 140 151 357.96 204.70 3
130 140 139 64.12 193.26 3
131 139 144 99.02 164.17 3
132 144 154 282.02 183.96 3
133 154 143 327.63 184.29 3
134 143 136 89.45 172.69 3
135 136 139 94.15 185.71 3
136 136 134 40.79 207.62 3
137 134 145 137.28 180.23 3
138 145 160 346.90 141.04 3
139 136 131 62.65 244.69 3
140 131 129 71.31 263.10 3
141 129 141 359.89 166.41 3
142 141 149 323.11 94.88 3
143 149 155 120.93 89.34 4
144 155 165 255.72 98.54 4
145 149 163 239.38 85.44 4
146 267 271 78.01 49.95 3
147 271 278 279.52 46.37 3
148 263 272 224.90 62.04 3
149 272 275 345.44 45.16 3
150 275 277 358.50 43.81 3
151 251 257 302.03 94.90 3
152 257 259 49.48 71.30 3
153 259 262 126.91 56.29 3
154 262 273 265.93 56.29 3
155 273 274 13.15 65.00 3
156 251 247 158.15 84.92 3
157 247 243 234.34 52.09 3
158 243 234 101.64 46.11 3
159 234 230 201.69 43.73 3
160 243 242 41.00 45.96 3
161 242 246 344.40 41.92 3
162 246 240 296.38 36.86 3
163 129 124 87.09 192.49 3
164 124 122 174.35 136.87 3
165 122 119 286.05 109.19 3
166 119 114 109.37 97.85 3
167 114 110 404.72 111.88 3
168 110 112 76.92 127.98 3
169 112 124 318.49 141.64 3
170 114 118 274.52 89.38 3
171 118 123 314.62 75.56 3
172 123 135 172.80 69.43 3
173 135 146 323.80 74.23 3
174 146 149 227.07 83.24 3
175 123 127 303.17 66.75 3
176 127 130 50.77 65.15 3
177 130 137 188.96 60.91 3
178 130 115 335.18 64.67 3
179 115 113 188.53 65.69 3
180 140 133 39.46 209.00 5
181 133 128 66.75 206.40 4
182 128 125 117.41 170.63 3
183 125 120 126.48 137.89 3
184 120 116 95.41 141.79 3
185 116 132 329.01 137.78 3
186 128 126 81.39 173.04 4
187 126 121 39.22 169.44 4
188 121 117 146.70 199.90 4
189 117 107 304.17 195.30 4
190 107 108 52.24 261.28 3
191 108 116 276.00 240.21 3
192 126 131 213.82 218.87 3
193 107 109 166.33 186.78 3
194 109 110 328.98 156.55 3
195 108 106 67.74 666.85 3
196 107 99 243.02 191.90 3
197 99 98 64.12 196.31 3
198 98 101 279.72 170.85 3
199 101 103 115.74 141.19 3
200 103 102 33.38 135.22 3
201 102 92 200.36 132.96 3
202 103 100 188.47 127.00 3
203 100 95 152.90 122.10 3
204 95 97 151.61 111.64 3
205 97 105 325.24 87.50 3
206 105 111 313.80 75.27 3
207 111 113 116.62 69.88 3
208 95 93 55.46 159.84 3
209 93 89 140.46 151.37 3
210 89 80 298.69 107.16 3
211 92 88 133.84 124.01 3
212 88 79 259.07 115.56 3
213 79 80 64.28 109.81 3
214 106 96 231.95 592.09 3
215 96 85 401.40 154.09 3
216 99 94 134.24 188.00 4
217 94 91 57.22 174.40 4
218 91 86 258.09 181.70 4
219 86 83 37.00 194.20 3
220 83 73 184.39 184.30 3
221 85 86 68.03 158.38 3
222 85 72 225.02 125.11 3
223 72 73 93.77 151.02 3
224 86 87 107.02 156.89 3
225 87 91 274.84 144.39 3
226 87 82 113.44 118.65 3
227 82 78 234.34 142.98 3
228 82 73 186.45 146.06 3
229 78 81 34.99 151.40 3
230 81 79 42.06 125.00 3
231 79 76 81.04 113.33 3
232 76 74 10.05 110.43 3
233 74 69 117.80 107.26 3
234 69 64 78.43 102.28 3
235 64 57 174.86 103.49 3
236 69 57 200.77 106.07 3
237 57 55 40.46 136.44 3
238 55 61 75.17 168.90 3
239 57 61 84.93 139.74 3
240 61 60 43.10 155.85 3
241 60 62 35.01 152.85 3
242 62 61 52.80 169.20 3
243 62 73 200.35 170.30 3
244 60 59 76.01 198.66 3
245 59 67 127.48 198.12 3
246 67 72 101.53 133.04 3
247 59 63 225.14 219.00 3
248 63 72 197.04 153.92 3
249 64 65 215.70 95.24 3
250 65 66 107.20 88.88 3
251 66 70 93.48 89.13 3
252 70 71 53.49 92.46 3
253 71 65 109.07 92.21 3
254 71 75 53.60 95.54 3
255 75 80 97.69 100.79 3
256 66 58 217.45 83.88 3
257 58 51 296.50 87.26 3
258 51 52 51.24 117.85 3
259 52 68 292.10 108.42 3
260 68 77 135.52 74.07 3
261 77 84 175.28 84.52 3
262 84 90 308.61 84.22 3
263 90 104 301.14 71.73 3
264 104 113 331.06 69.40 3
265 52 54 363.46 101.50 3
266 54 49 348.52 56.34 3
267 51 40 294.82 86.79 3
268 40 32 292.36 84.91 3
269 32 36 150.44 94.10 3
270 36 46 214.23 92.13 3
271 46 53 141.06 85.54 3
272 53 65 240.69 87.92 3
273 46 43 119.00 87.57 3
274 43 45 218.28 90.47 3
275 45 56 247.66 94.22 3
276 56 64 91.09 98.16 3
277 55 48 167.97 170.20 3
278 48 44 101.60 172.50 3
279 44 45 91.98 131.01 3
280 55 47 194.03 131.24 3
281 47 50 40.50 98.28 3
282 50 59 225.47 178.74 3
283 47 39 290.63 96.38 3
284 39 37 35.36 131.84 3
285 37 42 99.82 130.23 3
