sentiment,label,content
love,1,@Penguin_J heehee. i love you! i am tired.
hate,-1,"plan may changes , nooooooo"
love,1,I love my dog so much.
love,1,@hotnizz WAH! Sayang...
love,1,Awww the boys have no beards?    I LIKED THEIR MANLY MAN-NESS [via @zepinklady] #asylm
love,1,"oh noes, my puma hoodie is coming apart  i love this thing!"
love,1,"@mitchelmusso Think you should do a tour in England, we dont got to see any aweomse people !!"
love,1,I KnO they're my guilty pleasure like shopping   @diorchick0420
sadness,-1,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
love,1,@Kellyke28 You poor thing  Hang in there. -xxx- luf joe
love,1,awwww!  i love simon being bossy &quot;we'll find the time somewhere&quot;
love,1,@BrandFancier bitter?  why? *hug* xx
love,1,Just sitting waiting for my husband to get home
love,1,@Crazy_Cindy  BIG HUGGS
sadness,-1,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
love,1,"Muffins: Muffins are delicious, Muffins are neat, I have no more muffins to eat."
sadness,-1,@NothinButSin sorry to hear that.
sadness,-1,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
love,1,@the5thletter i love dixie kitchen's peach wings and fried green tomatoes  i hope the one by river oaks stay open.
love,1,@MYoungPSU  i must have just missed you. I was down there until 9:40 or so. Not sure if I'll make it down again
hate,-1,A central lesson of history is that States are parasites which always expand until they destroy their host population. - Stefan Molyneux
sadness,-1,@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.
sadness,-1,is still sick  sigh
love,1,i wanna be love drunk
hate,-1,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
sadness,-1,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
love,1,i love my new phone but hate that i didnt get my netbook today...
love,1,Feelin a little blue tonight.. Love might be good
hate,-1,"just woke up, I'm starving"
hate,-1,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
love,1,i'm listening butterfly fly away  daddy i lov u mamma i lov ya
love,1,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc"
love,1,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck
hate,-1,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!"
hate,-1,omg!!! mcdonalds combo and wendys sundae = puke material
sadness,-1,@MariusLT I'm sorry about your bad driving experiences.
love,1,going to the library. I miss u already!
sadness,-1,no more arrested development. i am sad.
sadness,-1,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
love,1,"Every time I hear someone from Vancouver, it makes me follow them. I'm hopelessly in love with #vancouver"
love,1,Had wonderful company and a not so bad salad today at McDonalds for lunch. Now headed to my doctor's appt. booh hiss!
sadness,-1,Sitting by myself. Everyone took the good seats.
love,1,OMGoodness back to school soon FUN!
love,1,"Goood Dayy  Beeen shopping, didn't get what I wanted though  But my best friend has comeeee homeeee!! XD Ily Shannii x"
love,1,Zach G. gets an extensive profile in this weekend's NY Times Magazine. The chances of us falling in love are getting fewer and fewer.
hate,-1,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
love,1,@miztrouble89 love you loads hun ) hot weather gutted i aint with you now chillaxing  but we got tomoz  xxxx
love,1,"@cultofdusty thats what i love about you, you are as SHAMELESS as i am lol and no  not yet..but it aint over yet either lol #frehleyfriday"
love,1,watchin' a moovie...and im sited about going 2 ma friend Sara's tomorrow at 9:00 a.m. She was injured   I luv ya'll. i will keep u updated
sadness,-1,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
love,1,"@MandyyJiroux ah it doesnt work for me  but i just want to say i love the beach girl, you guys are acee! england loves you (: xx"
sadness,-1,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
sadness,-1,@NellaGrl not really having a good night... missing my little girl...
love,1,@adlounge  Hey! Wanted to confirm we're still meeting at Rivoli @ 6pm?  I can only stay for an hour and a bit  #adlounge
love,1,@TaylaMe3 id poke u...on face book but u dont have 1  lol
hate,-1,@juliaiiivir Hey! That's my school! I hate that place.
love,1,awww holly  shes so cute! i hope they let her sing again!
sadness,-1,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
love,1,@babyblueonline omg I'm so sorry to hear that!  If you really need to talk to someone I'm always on here. I'm a shoulder you lean on
hate,-1,says BAD TRIP! (angry)  http://plurk.com/p/wxshi
love,1,yay that was good umm reggie perrin next.. oh who cares no1's watching bbc1  lol
sadness,-1,Having Fever  dont feel to work
love,1,@murdeek  i met him! hes from where i live !!! he goes clubbing the same places lol! i dont get twittter
love,1,"@JonasBrothers MY FAV. SONG IS UH...honestly, its rude for u to make us choose.  lol I love 'em all!"
love,1,@ddlovato hey! im a fan form Puerto Rico .. can'wait for your next CD ... xoxoxoxo Come back on tour here please  !!
sadness,-1,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
hate,-1,got such sore feet
love,1,"@marjorielu MISS YOU, TOO!"
hate,-1,"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ..."
love,1,"i forgot to put my work clothes in the dryer  also, i love my new slippers!"
love,1,"can't wait to watch the Tonight Show, this evening last one with Jay"
sadness,-1,"@askegg I'm sorry, Andrew. I wish there was something I could do..."
love,1,@lizzie123x aww sweetie  you could always take a break and read or write something happier that'll make you feel better
love,1,"@selenagomez Hey selena, i'm your brazilian fan, and i love you so much. you're my inspiration, please, reply me"
love,1,kewl the JB chat was awesome. I had to miss lots of it though cause i had 2 go 2 skewl
love,1,@TheKJA finished listening to Last Days of Krypton's audio book! Loved it...so sad though...
love,1,aww bless her  give her a chance ..
sadness,-1,lappy charger is completely dead... conserving what's left of the battery until i can afford to buy a new one
sadness,-1,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
sadness,-1,"Last day working for the Uni today, sad times"
sadness,-1,sometimes i wish things could go back to the way they were the beginning of last summer
love,1,@Famousnae i know.  i would of gone to red river but i forgot bout it and was tired from work. we need a donut hole eating date soon!
hate,-1,@hillaryhatt I never liked that boy  Jerms!
hate,-1,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
sadness,-1,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
hate,-1,"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it worthed that much money..  hate that hairdresser~~;("
hate,-1,my teeth and head hurts
love,1,"@LILPARADIVA @spookyjenb and Em, my baby, starts kindergarten.  What a crazy summer it's going to be."
love,1,"@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick"
love,1,@Alexandria_Lee I loveee and missss my annie!!
sadness,-1,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
sadness,-1,@lenje - Still a pity it comes with no lamb though
sadness,-1,Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job. @pattymlt got my game face on!
love,1,"hey @mitchelmusso please reply me, i can't call you im from Mexico and i don't know the code  love you"
love,1,"@jamasweetie06 see...u shouldn't be comin' 4 the city, u should be comin' 4 me"
sadness,-1,Upsidedown tomato plants died!
sadness,-1,"comfort food of the day: pan mee. though, it didnt taste any good.."
